Brewery,Longitude,Latitude
Guinness,53.341874,-6.2867093
Bath Ales,51.4244533,-2.5561088
Brewdog,57.371728,-2.048320
Black Sheep,54.2249784,-1.6583111
Crabbies,55.963619,-3.188522
Thornbridge,53.2197633,-1.6854224
Wild Beer Company,51.1487491,-2.4683796
Harviestoun Brewery,55.6027951,-4.7695783
Fullers,51.373998,-0.6321623
Tiny Rebel,51.5905827,-3.0539846
Sharp's Brewery,50.551845,-4.8912969
Hogs Back Brewery,51.229026,-0.732317
St Austell Brewery,50.342191,-4.787767
Weird Beard Beer Co.,51.4974218,-0.3382236
Belhaven Brewery,55.987010,-2.538869
Wychwood Brewery,51.783015,-1.488323
Butcombe Brewery,51.354703,-2.761441
Greene King,52.240894,0.717456
Shepherd Neame Brewery,51.316711,0.891689
Newcastle Brown,55.0022917,-1.7969253
Courage,51.454911,-0.986148
McEwan's,55.934081,-3.239283
Timothy Taylors,53.8657172,-1.9270604
Innis and Gunn,55.6181218,-4.4438246
Otter Brewery,50.8646002,-3.1660269
Boyne Brewhouse,53.6940349,-6.3696619
Smithwicks Brewery,52.6473578,-7.2684283
Camden Town Brewery,51.547927,-0.161562
Gipsy Hill,51.428647,-0.089409
The Orkney Brewery,59.064292,-3.335818
Hall and Woodhouse,50.7897282,-2.9525979
Morland,52.2399723,0.6993711
Station Works Brewery,54.0483108,-6.255
McGargles,53.341028,-6.522238
Ram Brewery,51.440374,-0.178524
Banks's,52.5848608,-2.139065
Dartmoor Brewery,50.5444345,-3.998031
Carlow Brewing Company,52.697154,-6.976297
Hope Brewery,53.390972,-6.154304
Meantime Brewing Company,51.4894766,0.0075363
Adnams,52.3225989,1.6549623
St Peters Brewery,52.3496763,1.2413367
