Brewery,Longitude,Latitude
Fierce Beer,57.2118091,-2.2170104
Brecon Brewing,51.7474974,-3.7626388
Mr Trotters,54.0393383,-2.7814404
Allendale Brewery,54.9037854,-2.2670478
Lancaster Brewery,54.0393383,-2.7836291
Keltek Brewery,50.246431,-5.2180407
Westerham Brewery Co,51.276028,0.0836893
Hambleton Ales,54.174328,-1.4807317
Purple Moose,52.928411, -4.129499
Gower Brewery,51.6386108,-4.1372531
Celt Experience,51.5785385,-3.2200437
Otley Brewing,51.6272338,-3.32448
Bushy's Brewery,54.137763,-4.5639607
Acorn Brewery of Barnsley,53.532712,-1.4117268
Alphabet Brewing Co,53.4753063,-2.2244294
Andwell Brewing Co,51.270329,-1.011884
Arbor Ales,51.4621167,-2.5682339
Ayr Brewing Company,55.45809,-4.6370117
Beartown Brewery,53.1636397,-2.2072212
Big Smoke Brew Co,51.3803424,-0.376487
Black Lodge Brewery,53.39812,-2.9863626
Black Rock Brewing,50.1535724,-5.0938569
Brampton Brewery,53.2334168,-1.4511658
Brew Toon,57.5073376,-1.782929
Brewhive Ltd,55.953803,-3.2013489
Brewshed Brewery,52.300523,0.7154574
By The Horns Brewing Co,51.4324957,-0.186944
Canopy Beer Co,51.4520281,-0.1031497
Canterbury Brewers,51.2762465,1.0717045
Cattle Shed Brew Co,51.0708586,0.6852581
Old Dairy Brewing,51.0708586,0.6852581
Chiltern Brewery,51.767898,-0.7828637
Cloudwater Brew Co,53.4780194,-2.2237765
Crate Brewery,51.542905,-0.0244077
Cross Bay Brewery,54.0564409,-2.8387384
Dark Revolution Brewery,51.1005474,-1.7877486
Derby Brewing Co,52.9383776,-1.4998893
Downton Brewery Co Ltd,50.9964313,-1.7583342
East London Brewing Co,51.564937,-0.0361394
Enfeld Brewing Co,51.6133941,-0.0451693
Fallen Brewing Co,56.1350728,-4.153199
Farr Brew,51.8028715,-0.2727216
Firebird Brewing Co,51.095907,-0.4558967
Fourpure Brewing Co,51.4891398,-0.0561417
Geipel Brewing,53.005494,-4.2802797
Griffin Brewery,51.4870978,-0.2504225
Hammerpot Brewery,50.8405886,-0.5093141
Hepworth Brewery,50.9920858,-0.4778419
Hobsons Brewery,52.3748036,-2.4879017
Hooded Ram Brewing Co,54.1498138,-4.496933
Hop Studio,53.928409,-0.9554207
Howard Town Brewery,53.4515525,-1.9379604
Humpty Dumpty Brewery,52.5668789,1.5760353
J W Lees Brewery,53.5417043,-2.175551
Jaw Brew,55.8599116,-4.3721509
Joseph Holt Brewery,53.493196,-2.243413
Kew Brewery,51.4640656,-0.2748699
Lacons Brewery,52.4458631,1.7185121
Little Valley Brewery,53.6950463,-1.9942306
Lord Conrad's Brewery,52.2236102,0.002254
Lovibonds Brewery Ltd,51.5370765,-0.9076906
Mad Hatter Brewing Co,53.4229089,-2.9964573
Mad Squirrel Brewing Co,51.7591401,-0.5624357
Magic Rock Brewing Co,53.6560768,-1.789265
Nene Valley Brewery,52.48679,-0.4668925
Northern Monk Brew Co,53.7907478,-1.5563833
Old Friends Brewery,52.203428,0.1363713
Papworth Brewery,52.3606813,0.0412665
Piddle Brewery,50.769582,-2.3980657
Pilot Beer,55.9700826,-3.1900429
Purple Moose Brewery,52.928406,-4.1300412
Rebellion Beer Co,51.586153,-0.7703047
Redcastle Brewery,56.583915,-2.7308627
RedWillow Brewery,53.2503122,-2.1220558
Roosters Brewing Co,54.0016859,-1.4482007
Sadler's Brewing Co,52.459483,-2.1167457
Sambrook's Brewery,51.469952,-0.1781537
Seven Bro7hers Brewery,53.484549,-2.2316797
Shakespeare Brewing Co,52.052984,-1.6581566
ShinDigger Brewing Co,53.485564,-2.2360117
Skinners Brewery,50.2575518,-5.0491761
Swannay Brewery,59.1426999,-3.2367617
The Beer Studio,53.4430593,-2.2208848
The Hop Shed,52.1507713,-2.4087509
The London Beer Factory,51.4996846,-0.077465
The Ramsgate Brewery,51.3567364,1.4107856
Thwaites Brewery,53.778521,-2.5562357
Tomos Watkin Brewery,51.6532992,-3.9223937
Tring Brewery,51.7936749,-0.6539369
Umbrella Brewing,51.5619655,-0.127002
Vocation Brewery,53.6953465,-1.9938659
Weetwood Ales,53.201007,-2.7150817
Wickwar Wessex Brewing Co,51.5996841,-2.3994336
The Wimbledon Brewery,51.4130628,-0.1763365
Windsor & Eton Brewing Co,51.484455,-0.6200317
Yeovil Ales Brewery,50.9493565,-2.6827633
Baynhams Brewery,50.8039373,-1.5719176
Donnington Brewery,51.9479268,-1.7496438
Leviathan Brewing,52.5605534,-1.8095109
Forest Road Brewing Co,51.537605,-0.058036
Three Daggers Brewery,51.278559,-2.098662
Wellbeck Abbery Brewery,53.2602459,-1.16741
Jabru Brewery,51.23657,-0.5729557
Freestar Brewery,51.5055566,-0.2210748
Ales of Scilly Brewery,49.9165533,-6.3067929
Ossett Brewery,53.6679229,-1.5896646
Bru Brewery,53.5662833,-6.7950368
Bushy's Brewery,54.137763,-4.5639607
White Gypsy Brewery,52.7929174,-7.8294975
Reel Deel Brewing Co,54.1008098,-9.3105143
Mescan Brewery,53.7471934,-9.7282813
Rudgate Brewery,53.96563721303585,-1.3065887460392813
Steam Town,50.97062232109974,-1.3467214071316924
